date, data 
1/1/60, 0.71 
1/4/60, 0.63 
2/7/60, 0.85 
1/10/60, 0.44 
1/1/61, 0.61 
2/4/61, 0.69 
2/7/61, 0.92 
1/10/61, 0.55 
1/1/62, 0.72 
2/4/62, 0.77 
2/7/62, 0.92 
1/10/62, 0.60 
1/1/63, 0.83 
2/4/63, 0.80 
2/7/63, 1.00 
1/10/63, 0.77 
1/1/64, 0.92 
1/4/64, 1.00 
2/7/64, 1.24 
1/10/64, 1.00 
1/1/65, 1.16 
2/4/65, 1.30 
2/7/65, 1.45 
1/10/65, 1.25 
1/1/66, 1.26 
2/4/66, 1.38 
2/7/66, 1.86 
1/10/66, 1.56 
1/1/67, 1.53 
2/4/67, 1.59 
2/7/67, 1.83 
1/10/67, 1.86 
1/1/68, 1.53 
1/4/68, 2.07 
2/7/68, 2.34 
1/10/68, 2.25 
1/1/69, 2.16 
2/4/69, 2.43 
2/7/69, 2.70 
1/10/69, 2.25 
1/1/70, 2.79 
2/4/70, 3.42 
2/7/70, 3.69 
1/10/70, 3.60 
1/1/71, 3.60 
2/4/71, 4.32 
2/7/71, 4.32 
1/10/71, 4.05 
1/1/72, 4.86 
1/4/72, 5.04 
2/7/72, 5.04 
1/10/72, 4.41 
1/1/73, 5.58 
2/4/73, 5.85 
2/7/73, 6.57 
1/10/73, 5.31 
1/1/74, 6.03 
2/4/74, 6.39 
2/7/74, 6.93 
1/10/74, 5.85 
1/1/75, 6.93 
2/4/75, 7.74 
2/7/75, 7.83 
1/10/75, 6.12 
1/1/76, 7.74 
1/4/76, 8.91 
2/7/76, 8.28 
1/10/76, 6.84 
1/1/77, 9.54 
2/4/77, 10.26 
2/7/77, 9.54 
1/10/77, 8.73 
1/1/78, 11.88 
2/4/78, 12.06 
2/7/78, 12.15 
1/10/78, 8.91 
1/1/79, 14.04 
2/4/79, 12.96 
2/7/79, 14.85 
1/10/79, 9.99 
1/1/80, 16.20 
1/4/80, 14.67 
2/7/80, 16.02 
1/10/80, 11.61 
